epoch,loss,a,b,ga,gb
0,1608.4455438410964,1.0,1.0,-304.31879761138026,-14.376965205965176
1,1517.1756084122587,1.3043187976113804,1.014376965205965,-294.15452946293215,-14.362588240759212
2,1431.8875423131126,1.5984733270743126,1.0287395534467243,-284.3297485489382,-14.348225652518455
3,1352.1884553357972,1.8828030756232508,1.0430877790992428,-274.8331159731128,-14.333877426865932
4,1277.711264043847,2.1576361915963638,1.0574216565261088,-265.6536715590626,-14.319543549439068
5,1208.1129966656408,2.4232898631554263,1.0717412000755477,-256.78082120101715,-14.30522400588963
6,1143.0732093301924,2.6800706843564432,1.0860464240814374,-248.20432463704591,-14.29091878188374
7,1082.2925063318125,2.9282750089934892,1.1003373428633212,-239.9142836306501,-14.276627863101853
8,1025.4911575905471,3.1681892926241395,1.114613970726423,-231.90113054709053,-14.262351235238752
9,972.4078069241299,3.40009042317123,1.1288763219616618,-224.15561731126678,-14.248088884003511
10,922.7982651665371,3.6242460404824968,1.1431244108456653,-216.668804734404,-14.233840795119509
11,876.4343825600271,3.8409148452169006,1.1573582516407848,-209.43205219722884,-14.219606954324393
12,833.1029952136248,4.05034689741413,1.171577858595109,-202.43700767772842,-14.205387347370063
13,792.6049407630246,4.252783905091858,1.185783245942479,-195.67559811198248,-14.1911819600227
14,754.7541386864497,4.448459503203841,1.1999744279025018,-189.14002007694432,-14.176990778062676
15,719.3767310295652,4.637599523280786,1.2141514186805644,-182.82273078441773,-14.162813787284609
16,686.3102795715087,4.820422254065203,1.228314232467849,-176.71643937583573,-14.148650973497327
17,655.4030157247188,4.997138693441039,1.2424628834413465,-170.81409850779397,-14.134502322523828
18,626.5131397047753,5.167952791948833,1.2565973857638704,-165.1088962186281,-14.120367820201308
19,599.5081657339613,5.3330616881674615,1.2707177535840717,-159.59424806664788,-14.106247452381103
20,574.2643102548506,5.492655936234109,1.284824001036453,-154.26378953095502,-14.092141204928724
21,550.6659203288195,5.646919725765064,1.2989161422413815,-149.111368666074,-14.078049063723796
22,528.6049395799571,5.796031094431138,1.3129941913051053,-144.13103900191848,-14.063971014660067
23,507.9804092182183,5.9401621334330565,1.3270581623197655,-139.3170526809001,-14.049907043645412
24,488.69800183765733,6.079479186113956,1.341108069363411,-134.66385382425744,-14.035857136601768
25,470.66958583692104,6.214143039938214,1.3551439265000127,-130.1660721199504,-14.021821279465163
26,453.81281845059664,6.344309112058164,1.3691657477794779,-125.81851662471952,-14.0077994581857
27,438.0507655121171,6.470127628682883,1.3831735472376636,-121.61616977315649,-13.993791658727515
28,423.3115461923782,6.59174379845604,1.3971673388963912,-117.55418158687252,-13.979797867068786
29,409.52800107354585,6.709297980042913,1.41114713676346,-113.62786407708074,-13.965818069201715
30,396.63738202529026,6.822925844119994,1.4251129548326618,-109.83268583413252,-13.951852251132514
31,384.581062451369,6.932758529954127,1.4390648070837944,-106.16426679776393,-13.937900398881382
32,373.30426656853456,7.038922796751891,1.4530027074826757,-102.61837320201612,-13.9239624984825
33,362.75581646764306,7.141541169953907,1.4669266699811583,-99.19091268899582,-13.910038535984016
34,352.8878957889434,7.240732082642903,1.4808367085171423,-95.87792958583651,-13.896128497448032
35,343.65582892025253,7.336610012228739,1.4947328370145903,-92.67560033940933,-13.882232368950588
36,335.0178746984048,7.429285612568148,1.508615069383541,-89.58022910351517,-13.868350136581638
37,326.9350336613306,7.518865841671664,1.5224834195201227,-86.58824347346447,-13.854481786445053
38,319.37086796070076,7.605454085145128,1.5363379013065677,-83.69619036312287,-13.840627304658609
39,312.2913331035294,7.6891502755082515,1.5501785286112262,-80.90073201966318,-13.82678667735395
40,305.6646207457586,7.770051007527915,1.5640053152885802,-78.19864217142552,-13.812959890676593
41,299.4610118118768,7.848249649699341,1.5778182751792569,-75.58680230443862,-13.799146930785922
42,293.6527392623127,7.923836452003779,1.5916174221100428,-73.06219806330606,-13.785347783855132
43,288.2138598748937,7.996898650067085,1.605402769893898,-70.62191577230273,-13.771562436071276
44,283.12013444828256,8.067520565839388,1.6191743323299692,-68.26313907266727,-13.757790873635205
45,278.34891587420054,8.135783704912056,1.6329321232036045,-65.9831456722088,-13.744033082761572
46,273.8790445615781,8.201766850584265,1.646676156286366,-63.779304203477345,-13.73028904967881
47,269.6907507297245,8.265546154787742,1.660406445336045,-61.649071186871396,-13.71655876062913
48,265.7655631193287,8.327195225974613,1.6741230040966741,-59.58998809517778,-13.702842201868501
49,262.08622369973796,8.386785214069791,1.6878258462985427,-57.59967851615632,-13.689139359666633
50,258.63660797865293,8.444384892585948,1.7015149856582092,-55.67584540989429,-13.675450220306969
51,255.40165054624504,8.500060737995842,1.7151904358785162,-53.81626845776537,-13.661774770086659
52,252.36727550987644,8.553877006453607,1.7288522106486028,-52.01880149993341,-13.648112995316573
53,249.5203314981855,8.60589580795354,1.7425003236439194,-50.281370058444146,-13.634464882321256
54,246.84853093440032,8.656177178011985,1.7561347885262406,-48.601968943045314,-13.620830417438935
55,244.34039329845865,8.70477914695503,1.7697556189436796,-46.978659936972996,-13.607209587021499
56,241.98519211593046,8.751757806892003,1.783362828530701,-45.40956956003237,-13.593602377434475
57,239.7729054289505,8.797167376452036,1.7969564309081356,-43.89288690639232,-13.580008775057038
58,237.69416952044588,8.841060263358427,1.8105364396831927,-42.42686155459726,-13.566428766281984
59,235.74023567796732,8.883487124913025,1.8241028684494747,-41.00980154738498,-13.552862337515704
60,233.9029297974701,8.92449692646041,1.8376557307869903,-39.64007143897881,-13.539309475178182
61,232.17461464050245,8.96413699789939,1.8511950402621684,-38.31609040760015,-13.525770165703006
62,230.54815457051424,9.00245308830699,1.8647208104278714,-37.03633043102332,-13.512244395537305
63,229.01688260544557,9.039489418738013,1.8782330548234087,-35.799314523066876,-13.498732151141764
64,227.5745696344526,9.075288733261079,1.8917317869745505,-34.60361502898649,-13.485233418990626
65,226.21539565661777,9.109892348290066,1.905217020393541,-33.44785197780146,-13.471748185571636
66,224.93392290883446,9.143340200267867,1.9186887685791127,-32.33069148965402,-13.458276437386063
67,223.7250707587736,9.175670891757521,1.9321470450164988,-31.250844236362585,-13.444818160948678
68,222.58409224699497,9.206921735993884,1.9455918631774476,-30.207063953392964,-13.431373342787731
69,221.50655216987997,9.237128799947277,1.9590232365202354,-29.198146001529583,-13.41794196944494
70,220.48830660217726,9.266326945948807,1.9724411784896803,-28.22292597658692,-13.404524027475496
71,219.5254837646004,9.294549871925394,1.9858457025171559,-27.28027836555709,-13.391119503448019
72,218.61446614812985,9.321830150290952,1.9992368220206038,-26.369115247641737,-13.37772838394457
73,217.7518738124714,9.348199265538593,2.0126145504045483,-25.488385038669797,-13.364350655560626
74,216.93454878154864,9.373687650577263,2.025978901060109,-24.637071277451607,-13.350986304905065
75,216.1595404639703,9.398324721854715,2.0393298873650143,-23.814191452669185,-13.337635318600162
76,215.42409203114755,9.422138913307384,2.0526675226836146,-23.018795868948086,-13.32429768328156
77,214.72562769015923,9.445157709176332,2.065991820366896,-22.249966550802707,-13.310973385598281
78,214.06174079259227,9.467407675727134,2.0793027937524946,-21.50681618318998,-13.297662412212683
79,213.43018272444897,9.488914491910325,2.0926004561647074,-20.788487087448452,-13.284364749800469
80,212.82885252581428,9.509702978997774,2.105884820914508,-20.094150231441215,-13.271080385050666
81,212.25578719235187,9.529797129229216,2.1191559012995587,-19.423004272760096,-13.257809304665617
82,211.70915261384096,9.549220133501976,2.1324137106042245,-18.7742746338868,-13.244551495360952
83,211.18723510791222,9.567994408135862,2.145658262099585,-18.147212608243844,-13.23130694386559
84,210.68843350988567,9.586141620744106,2.158889569043451,-17.541094496103263,-13.218075636921723
85,210.2112517821847,9.60368271524021,2.1721076446803727,-16.955220769356554,-13.204857561284804
86,209.75429210919643,9.620637936009565,2.1853125022416573,-16.388915264180525,-13.191652703723518
87,209.31624844569407,9.637026851273745,2.1985041549453808,-15.841524400668881,-13.178461051019793
88,208.89590048902733,9.652868375674414,2.2116826159964007,-15.312416428527754,-13.165282589968776
89,208.49210804724717,9.668180792102941,2.2248478985863693,-14.800980697965349,-13.152117307378806
90,208.1038057771577,9.682981772800906,2.238000015893748,-14.306626954933556,-13.13896519007143
91,207.72999826799642,9.69728839975584,2.2511389810838196,-13.82878465990891,-13.125826224881356
